bonus_v_large	bonus_v_infantry	key	damage	ap_damage	is_magical	melee_attack_interval
30	0	wh2_main_lzd_cha_cold_one_hero	120	280	False	4
0	0	wh2_main_lzd_cha_cold_one_lord	130	320	False	4
22	0	wh2_main_lzd_cha_kroq_gar	130	310	False	4
35	0	wh2_main_lzd_cha_kroq_gar_grymloq	165	375	False	4
0	0	wh2_main_lzd_cha_mazdamundi_lord	270	90	True	4
0	0	wh2_main_lzd_cha_saurus_old_blood	140	290	False	4
30	0	wh2_main_lzd_cha_saurus_scar_veteran	130	250	False	4
0	0	wh2_main_lzd_cha_slann_lord	240	80	True	4
0	0	wh2_main_lzd_cha_terradon_hero	220	80	False	4
0	0	wh2_main_lzd_cold_one_club	13	31	False	4.4
0	0	wh2_main_lzd_cold_one_feral	10	30	False	4.5
14	0	wh2_main_lzd_cold_one_spear	12	28	False	4.2
35	0	wh2_main_lzd_feral_carnosaur	115	350	False	3.6
0	0	wh2_main_lzd_horned_one_club	17	35	False	4.5
0	20	wh2_main_lzd_kroxigor	23	65	False	3.8
0	0	wh2_main_lzd_saurus_club	34	18	False	3.7
15	0	wh2_main_lzd_saurus_spear	30	12	False	4.1
0	0	wh2_main_lzd_skink_chief_hero	230	80	False	4
0	0	wh2_main_lzd_skink_chief_terradon	230	80	False	4
0	0	wh2_main_lzd_skink_club	20	5	False	4.3
0	0	wh2_main_lzd_skink_club_poison	20	5	False	4.3
0	15	wh2_main_lzd_stegadon	120	300	False	3.5
16	0	wh2_main_lzd_temple_guard_halberd	13	29	False	4
0	0	wh2_main_lzd_terradon	52	13	False	4
0	0	wh2_main_skv_censer	13	31	True	4.4
0	0	wh2_main_skv_cha_assassin	225	150	False	3.8
0	0	wh2_main_skv_cha_censer_hero	84	196	True	4
0	20	wh2_main_skv_cha_plague_furnace	60	140	True	5.2
0	16	wh2_main_skv_cha_queek_headtaker	80	340	False	4
0	20	wh2_main_skv_cha_screaming_bell	60	140	False	5.2
0	0	wh2_main_skv_cha_skrolk	280	120	True	4
0	0	wh2_main_skv_cha_staff_lord	217	93	False	4
0	0	wh2_main_skv_cha_warlock_engineer	84	196	False	4
0	0	wh2_main_skv_cha_warlord	280	120	False	4
0	0	wh2_main_skv_cha_warlord_bonebreaker	138	322	False	4
0	0	wh2_main_skv_claw_blade	21	7	False	4.3
0	0	wh2_main_skv_claw_blade_poison	21	7	False	4.3
0	30	wh2_main_skv_doomwheel	94	176	False	4.3
0	7	wh2_main_skv_dual_swords	24	8	False	4.5
17	0	wh2_main_skv_halberd	9	18	False	4.6
17	0	wh2_main_skv_hell_pit_abomination	150	350	False	3.2
0	0	wh2_main_skv_rat_ogre	22	58	False	3.8
9	0	wh2_main_skv_spear	18	5	False	4.3
6	0	wh2_main_skv_spear_skavenslaves	12	4	False	4.6
0	0	wh2_main_skv_sword	20	6	False	4.3
0	0	wh2_main_skv_sword_skavenslaves	14	4	False	4.3
0	0	wh2_main_skv_sword_stormvermin	25	9	False	4.6
0	0	wh2_main_skv_weeping_blade	8	22	False	4.3
0	0	whh2_dlc09_tmb_heirotitan	137	413	True	4
